Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
38412,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,"Singh, Simon",,"=""0385493622""","=""9780385493628""",5,4.27,Anchor,Paperback,315,1998,1997,2021/02/07,2021/02/02,,,read,,,,1,,,0,,,,,
6346975,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Foer, Joshua",,"=""159420229X""","=""9781594202292""",0,3.87,"Penguin Press HC, The",Hardcover,307,2011,2011,,2021/02/06,to-read,to-read (#164),to-read,,,,0,,,0,,,,,
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",0,3.87,Oxford University Press,Hardcover,328,2014,2014,,2021/02/04,to-read,to-read (#163),to-read,,,,0,,,0,,,,,
12605872,Designing Data Visualizations: Representing Informational Relationships,Noah Iliinsky,"Iliinsky, Noah",Julie Steele,"=""1449312284""","=""9781449312282""",0,3.22,O'Reilly Media,Paperback,114,2011,2011,,2021/02/04,to-read,to-read (#162),to-read,,,,0,,,0,,,,,
666215,How to Be Alone,Jonathan Franzen,"Franzen, Jonathan",,"=""0312422164""","=""9780312422165""",0,3.59,Picador,Paperback,306,2003,2002,,2021/02/04,to-read,to-read (#161),to-read,,,,0,,,0,,,,,
13425570,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.","James Allworth, Karen Dillon","=""0062102427""","=""9780062102423""",0,4.07,Harper Business,ebook,240,2012,2012,,2021/02/04,to-read,to-read (#160),to-read,,,,0,,,0,,,,,
101154,Billy Liar / The Loneliness of the Long-Distance Runner,Keith Waterhouse,"Waterhouse, Keith","Alan Sillitoe, David Elloway","=""0582348854""","=""9780582348851""",0,4.00,Longmans,Paperback,264,1987,1966,,2021/02/04,to-read,to-read (#159),to-read,,,,0,,,0,,,,,
48566,A Practical Guide for Policy Analysis: The Eightfold Path to More Effective Problem Solving,Eugene Bardach,"Bardach, Eugene",,"=""1568029233""","=""9781568029238""",0,3.57,CQ Press,Paperback,149,2005,2000,,2021/02/04,to-read,to-read (#158),to-read,,,,0,,,0,,,,,
10431355,Technological Nature: Adaptation and the Future of Human Life,Peter H. Kahn Jr.,"Jr., Peter H. Kahn",,"=""0262113228""","=""9780262113229""",0,3.90,MIT Press,Hardcover,230,2011,2011,,2021/02/04,to-read,to-read (#157),to-read,,,,0,,,0,,,,,
648782,The Educated Mind: How Cognitive Tools Shape Our Understanding,Kieran Egan,"Egan, Kieran",,"=""0226190390""","=""9780226190396""",0,4.18,University of Chicago Press,Paperback,310,1998,1997,,2021/02/04,to-read,to-read (#156),to-read,,,,0,,,0,,,,,
1582891,How to Survive in Your Native Land,James Herndon,"Herndon, James",,"=""0867094087""","=""9780867094084""",0,4.15,Heinemann Educational Books,Paperback,192,1997,1971,,2021/02/04,to-read,to-read (#155),to-read,,,,0,,,0,,,,,
13538873,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,"Sloan, Robin",,"=""0374214913""","=""9780374214913""",0,3.74,"Farrar, Straus and Giroux",Hardcover,288,2012,2012,,2021/02/04,to-read,to-read (#154),to-read,,,,0,,,0,,,,,
79678,Technopoly: The Surrender of Culture to Technology,Neil Postman,"Postman, Neil",,"=""0679745408""","=""9780679745402""",0,3.92,Vintage,Paperback,222,1993,1992,,2021/02/04,to-read,to-read (#153),to-read,,,,0,,,0,,,,,
1487938,The Pea and the Sun: A Mathematical Paradox,Leonard M. Wapner,"Wapner, Leonard M.",,"=""1568812132""","=""9781568812137""",0,3.90,A K PETERS,Hardcover,232,2005,2005,,2021/02/04,to-read,to-read (#152),to-read,,,,0,,,0,,,,,
544053,"The City in History: Its Origins, Its Transformations, and Its Prospects",Lewis Mumford,"Mumford, Lewis",,"=""0156180359""","=""9780156180351""",0,4.11,Mariner Books,Paperback,784,1968,1961,,2021/02/04,to-read,to-read (#151),to-read,,,,0,,,0,,,,,
30833,The Death and Life of Great American Cities,Jane Jacobs,"Jacobs, Jane",,"=""0375508732""","=""9780375508738""",0,4.31,Random House,Hardcover,472,2002,1961,,2021/02/04,to-read,to-read (#150),to-read,,,,0,,,0,,,,,
13099439,Less and More: The Design Ethos of Dieter Rams,Klaus Klemp,"Klemp, Klaus",Keiko Ueki-polet,"=""3899553977""","=""9783899553970""",0,4.50,Gestalten,Hardcover,808,2011,2011,,2021/02/04,to-read,to-read (#149),to-read,,,,0,,,0,,,,,
415058,My Best Mathematical and Logic Puzzles,Martin Gardner,"Gardner, Martin",,"=""0486281523""","=""9780486281520""",0,4.13,Dover Publications,Paperback,96,1994,1994,,2021/02/04,to-read,to-read (#148),to-read,,,,0,,,0,,,,,
74787,The Mind-Body Problem,Rebecca Goldstein,"Goldstein, Rebecca",,"=""0140172459""","=""9780140172454""",0,3.79,Penguin Books,Paperback,288,1993,1983,,2021/02/04,to-read,to-read (#147),to-read,,,,0,,,0,,,,,
51287,Incompleteness: The Proof and Paradox of Kurt Gödel (Great Discoveries),Rebecca Goldstein,"Goldstein, Rebecca",,"=""0393327604""","=""9780393327601""",0,4.00,W. W. Norton  Company,Paperback,224,2006,2005,,2021/02/04,to-read,to-read (#146),to-read,,,,0,,,0,,,,,
18050049,Plato at the Googleplex: Why Philosophy Won't Go Away,Rebecca Goldstein,"Goldstein, Rebecca",,"=""0307378195""","=""9780307378194""",0,3.86,Pantheon,Hardcover,461,2014,2014,,2021/02/04,to-read,to-read (#145),to-read,,,,0,,,0,,,,,
52562750,The Art of Possibility,Benjamin Zander,"Zander, Benjamin",,"=""9869783694""","=""9789869783699""",0,0.0,Jing Ji Xin Chao She,Paperback,,2019,,,2021/02/04,to-read,to-read (#144),to-read,,,,0,,,0,,,,,
17841,Foucault's Pendulum,Umberto Eco,"Eco, Umberto",William Weaver,"=""015603297X""","=""9780156032971""",0,3.90,Mariner Books,Paperback,623,2007,1988,,2021/02/04,to-read,to-read (#143),to-read,,,,0,,,0,,,,,
17332335,The Kraus Project: Essays by Karl Kraus,Jonathan Franzen,"Franzen, Jonathan",Karl Kraus,"=""0374182213""","=""9780374182212""",0,3.37,"Farrar, Straus and Giroux",Hardcover,336,2013,2013,,2021/02/04,to-read,to-read (#142),to-read,,,,0,,,0,,,,,
27209431,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,"Kelly, Kevin",,"=""""","=""""",0,3.93,Viking,Hardcover,336,2016,2016,,2021/02/04,to-read,to-read (#141),to-read,,,,0,,,0,,,,,
676950,An Introduction to Political Philosophy: Ten Essays by Leo Strauss (Revised),Leo Strauss,"Strauss, Leo",Hilail Gildin,"=""0814319025""","=""9780814319024""",0,4.26,Wayne State University Press,Paperback,368,1989,1989,,2021/02/04,to-read,to-read (#140),to-read,,,,0,,,0,,,,,
1979200,Libraries of the Future,J.C.R. Licklider,"Licklider, J.C.R.",,"=""026212016X""","=""9780262120166""",0,4.42,MIT Press,Hardcover,219,1965,1965,,2021/02/04,to-read,to-read (#139),to-read,,,,0,,,0,,,,,
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",4,4.16,Riverhead Books,Hardcover,352,2019,2019,2021/02/04,2021/01/28,,,read,,,,1,,,0,,,,,
3828902,Thinking in Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana       Wright,"=""1603580557""","=""9781603580557""",0,4.26,Chelsea Green Publishing,Paperback,240,2008,2008,,2021/02/04,to-read,to-read (#138),to-read,,,,0,,,0,,,,,
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",0,4.61,Magrathea Publishing,ebook,244,2020,2020,,2021/02/02,to-read,to-read (#137),to-read,,,,0,,,0,,,,,
48890486,Breath: The New Science of a Lost Art,James Nestor,"Nestor, James",,"=""0735213615""","=""9780735213616""",0,4.15,Riverhead Books,Hardcover,214,2020,2020,,2021/02/02,to-read,to-read (#136),to-read,,,,0,,,0,,,,,
51175752,A Monk's Guide to Happiness: Meditation in the 21st Century,Gelong Thubten,"Thubten, Gelong",,"=""1250266823""","=""9781250266828""",0,4.24,St. Martin's Essentials,Hardcover,256,2020,2019,,2021/02/02,to-read,to-read (#135),to-read,,,,0,,,0,,,,,
1052,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,"=""0451205367""","=""9780451205360""",0,4.26,Berkley Books,Paperback,194,2008,1926,,2021/02/02,to-read,to-read (#134),to-read,,,,0,,,0,,,,,
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus","Martin Hammond, Albert Wittstock, عادل مصطفى, Simone Mooij-Valk, Diskin Clay","=""0140449337""","=""9780140449334""",0,4.22,Penguin Books,Paperback,303,2006,180,,2021/02/02,to-read,to-read (#133),to-read,,,,0,,,0,,,,,
142957,Adult Children of Alcoholics,Janet Geringer Woititz,"Woititz, Janet Geringer",,"=""1558741127""","=""9781558741126""",0,4.17,Health Communications Inc,Paperback,240,1990,1983,,2021/02/02,to-read,to-read (#132),to-read,,,,0,,,0,,,,,
52200318,"The Great Mental Models, Volume 2: Physics, Chemistry and Biology",Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""1999449037""","=""9781999449032""",0,4.22,Latticework Publishing Inc.,Hardcover,397,2020,2019,,2021/02/02,to-read,to-read (#131),to-read,,,,0,,,0,,,,,
44245196,The Great Mental Models: General Thinking Concepts,Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""""","=""""",0,4.08,Latticework Publishing Inc.,Kindle Edition,216,2019,2018,,2021/02/02,to-read,to-read (#130),to-read,,,,0,,,0,,,,,
48930266,Seven and a Half Lessons About the Brain,Lisa Feldman Barrett,"Barrett, Lisa Feldman",,"=""0358157145""","=""9780358157144""",0,4.10,Houghton Mifflin Harcourt,Hardcover,192,2020,2020,,2021/02/02,to-read,to-read (#129),to-read,,,,0,,,0,,,,,
42266454,But I'm Not An Expert!: Go from newbie to expert and radically skyrocket your influence without feeling like a fraud,Meera Kothand,"Kothand, Meera",,"=""""","=""""",3,4.02,,Kindle Edition,178,2018,,2021/02/02,2020/01/19,,,read,,,,1,,,0,,,,,
40180021,Naked Economics: Undressing the Dismal Science,Charles Wheelan,"Wheelan, Charles",,"=""0393356493""","=""9780393356496""",0,4.04,W. W. Norton  Company,Paperback,400,2019,2002,,2021/02/01,to-read,to-read (#128),to-read,,,,0,,,0,,,,,
2272880,The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,"Mlodinow, Leonard",,"=""0375424040""","=""9780375424045""",0,3.93,Pantheon Books,Hardcover,252,2008,2008,,2021/02/01,to-read,to-read (#127),to-read,,,,0,,,0,,,,,
25242087,Social Class in the 21st Century,Mike Savage,"Savage, Mike",,"=""0241004225""","=""9780241004227""",0,4.01,Pelican,Paperback,462,2015,2015,,2021/02/01,to-read,to-read (#126),to-read,,,,0,,,0,,,,,
53424992,The 5am Club,Robin S. Sharma,"Sharma, Robin S.",,"=""""","=""""",4,3.81,,Paperback,314,,2018,2021/01/25,2021/01/17,,,read,,,,1,,,0,,,,,
22571552,So You've Been Publicly Shamed,Jon Ronson,"Ronson, Jon",,"=""1594487138""","=""9781594487132""",0,3.93,Riverhead Books,Hardcover,290,2015,2015,,2021/01/25,to-read,to-read (#125),to-read,,,,0,,,0,,,,,
29214420,Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,Kate Raworth,"Raworth, Kate",,"=""1847941389""","=""9781847941381""",0,4.21,Random House Business,Paperback,384,2017,2017,,2021/01/25,to-read,to-read (#124),to-read,,,,0,,,0,,,,,
48889983,Calling Bullshit: The Art of Skepticism in a Data-Driven World,Carl T. Bergstrom,"Bergstrom, Carl T.",Jevin West,"=""0525509186""","=""9780525509189""",0,4.16,Random House,Hardcover,336,2020,2020,,2021/01/25,to-read,to-read (#123),to-read,,,,0,,,0,,,,,
40983494,The Problem of Democracy: The Presidents Adams Confront the Cult of Personality,Nancy Isenberg,"Isenberg, Nancy",Andrew Burstein,"=""0525557504""","=""9780525557500""",0,4.01,Viking,Hardcover,576,2019,2019,,2021/01/25,to-read,to-read (#122),to-read,,,,0,,,0,,,,,
13588394,The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",4,3.97,Penguin,Hardcover,534,2012,2012,2021/01/19,2020/02/25,,,read,,,,1,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",ناهید ملکی,"=""1455586692""","=""9781455586691""",0,4.19,Grand Central Publishing,Hardcover,296,2016,2016,,2021/01/17,to-read,to-read (#121),to-read,,,,0,,,0,,,,,
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.03,Crown Business,Hardcover,260,2014,2011,,2021/01/17,to-read,to-read (#120),to-read,,,,0,,,0,,,,,
16256798,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,"Keller, Gary",Jay Papasan,"=""1885167776""","=""9781885167774""",0,4.10,Bard Press (TX),Hardcover,240,2013,2013,,2021/01/17,to-read,to-read (#119),to-read,,,,0,,,0,,,,,
95887,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,"Tracy, Brian",,"=""1576754227""","=""9781576754221""",0,3.87,Berrett-Koehler Publishers,Paperback,128,2007,2001,,2021/01/17,to-read,to-read (#118),to-read,,,,0,,,0,,,,,
44526017,Narrative Economics: How Stories Go Viral and Drive Major Economic Events,Robert J. Shiller,"Shiller, Robert J.",,"=""0691182299""","=""9780691182292""",3,3.61,Princeton University Press,Hardcover,400,2019,2019,,2021/01/16,,,read,,,,1,,,0,,,,,
51780145,How Spies Think: Ten Lessons in Intelligence,David Omand,"Omand, David",,"=""0241385180""","=""9780241385180""",0,3.86,Viking,Hardcover,344,2020,,,2021/01/16,to-read,to-read (#117),to-read,,,,0,,,0,,,,,
51419710,The Politics Industry: How Political Innovation Can Break Partisan Gridlock and Save Our Democracy,Katherine M. Gehl,"Gehl, Katherine M.",Michael E. Porter,"=""1633699234""","=""9781633699236""",5,4.39,Harvard Business Review Press,Hardcover,256,2020,,2021/01/14,2021/01/06,,,read,,,,1,,,0,,,,,
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",3,3.79,Scribner,Hardcover,96,1996,1952,2021/01/05,2020/01/04,,,read,,,,1,,,0,,,,,
7862029,Winning Arguments: From Aristotle to Obama - Everything You Need to Know About the Art of Persuasion,Jay Heinrichs,"Heinrichs, Jay",,"=""0141032588""","=""9780141032580""",4,3.74,Penguin,Paperback,326,2010,2007,,2020/01/06,,,read,,,,1,,,0,,,,,
54111936,War: How Conflict Shaped Us,Margaret MacMillan,"MacMillan, Margaret",,"=""""","=""""",0,3.57,,Kindle Edition,,2020,,,2020/11/23,to-read,to-read (#116),to-read,,,,0,,,0,,,,,
4631,A Moveable Feast,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",4,4.02,Vintage,Paperback,192,2012,1964,2020/11/06,2020/05/07,,,read,,,,1,,,0,,,,,
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García","Gregory Rabassa, Seçkin Selvi","=""""","=""""",5,4.09,Harper,Mass Market Paperback,417,2003,1967,2020/07/17,2020/01/04,,,read,,,,1,,,0,,,,,
52579179,Open Democracy: Reinventing Popular Rule for the Twenty-First Century,Hélène Landemore,"Landemore, Hélène",,"=""0691181993""","=""9780691181998""",0,4.27,Princeton University Press,Hardcover,272,2020,,,2020/10/26,to-read,to-read (#115),to-read,,,,0,,,0,,,,,
41717504,This Is Not Propaganda: Adventures in the War Against Reality,Peter Pomerantsev,"Pomerantsev, Peter",,"=""1541762118""","=""9781541762114""",0,4.07,PublicAffairs,Hardcover,236,2019,2019,,2020/10/26,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
3304,"City of the Beasts (Eagle and Jaguar, #1)",Isabel Allende,"Allende, Isabel",Margaret Sayers Peden,"=""0060535032""","=""9780060535032""",0,3.72,Rayo,Paperback,408,2004,2002,,2020/10/12,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
46264145,The Kids Are All Left,David Faris,"Faris, David",,"=""""","=""""",4,3.79,Melville House,Kindle Edition,,2020,2020,2020/10/12,2020/10/12,,,read,,,,1,,,0,,,,,
15721502,L'Art d'ignorer les pauvres,John Kenneth Galbraith,"Galbraith, John Kenneth","Laurent Cordonnier, Jonathan Swift, Serge Halimi","=""291859735X""","=""9782918597353""",5,4.17,Les liens qui libèrent,Paperback,70,2011,2011,2020/10/11,2020/10/11,,,read,,,,1,,,0,,,,,
30032468,Good Authority: How to Become the Leader Your Team Is Waiting for,Jonathan Raymond,"Raymond, Jonathan",,"=""1940858194""","=""9781940858197""",0,4.08,Ideapress Publishing,Hardcover,225,2016,,,2020/10/05,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
7865083,Liar's Poker,Michael   Lewis,"Lewis, Michael",,"=""039333869X""","=""9780393338690""",5,4.15,W. W. Norton  Company,Paperback,310,2010,1989,2020/09/04,2020/08/25,,,read,,,,1,,,0,,,,,
618540,Fortune carrée,Joseph Kessel,"Kessel, Joseph",,"=""2266128809""","=""9782266128803""",4,4.16,Pocket,Mass Market Paperback,320,2002,1932,,2020/09/02,,,read,,,,1,,,0,,,,,
44310210,Epidemics and Society: From the Black Death to the Present,Frank M. Snowden III,"III, Frank M. Snowden",,"=""0300192215""","=""9780300192216""",3,4.43,Yale University Press,Hardcover,600,2019,2019,2020/09/01,2020/05/21,,,read,,,,1,,,0,,,,,
33545660,Une mort très douce,Simone de Beauvoir,"Beauvoir, Simone de",,"=""""","=""""",0,4.00,Gallimard,Paperback,152,,1964,,2020/09/01,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
896825,Nouvelles et textes pour rien,Samuel Beckett,"Beckett, Samuel",,"=""2707300101""","=""9782707300102""",0,4.09,Editions de Minuit,Paperback,210,1955,1955,,2020/09/01,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
932228,Jokes and Their Relation to the Unconscious,Sigmund Freud,"Freud, Sigmund","James Strachey, Peter Gay","=""0393001458""","=""9780393001457""",0,3.71,W. W. Norton and Company,Paperback,368,1963,1905,,2020/09/01,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
277678,La lenteur,Milan Kundera,"Kundera, Milan",,"=""2070402738""","=""9782070402731""",3,3.65,Gallimard Education,Paperback,196,1997,1995,2020/08/20,2020/08/20,,,read,,,,1,,,0,,,,,
16634,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Richard Winston, Clara Winston, Theodore Ziolkowski","=""0312278497""","=""9780312278496""",5,4.12,Picador,Paperback,578,2002,1943,,2020/05/07,,,read,,,,1,,,0,,,,,
2257151,Les mangeurs d'étoiles,Romain Gary,"Gary, Romain",,"=""207037257X""","=""9782070372577""",0,3.86,Gallimard Education,Mass Market Paperback,440,1981,,,2020/08/07,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
676723,Obedience to Authority,Stanley Milgram,"Milgram, Stanley",,"=""006131983X""","=""9780061319839""",0,4.20,Harper Perennial,Paperback,256,1983,1974,,2020/08/07,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
9644,Why I Write,George Orwell,"Orwell, George",,"=""0143036351""","=""9780143036357""",0,4.03,Penguin Group,Paperback,120,2005,2004,,2020/08/07,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
18414,Utopia,Thomas More,"More, Thomas",Paul Turner,"=""0140449108""","=""9780140449105""",4,3.55,Penguin Classics,Paperback,163,2003,1516,2020/08/07,2020/08/03,,,read,,,,1,,,0,,,,,
1080126,L'ignorance,Milan Kundera,"Kundera, Milan",,"=""2070306100""","=""9782070306107""",4,3.78,,Paperback,240,2005,2000,2020/07/30,2020/07/30,,,read,,,,1,,,0,,,,,
208653,Océan Mer,Alessandro Baricco,"Baricco, Alessandro",Françoise Brun,"=""2070419584""","=""9782070419586""",0,4.10,Gallimard,Paperback,282,2002,1993,,2020/07/26,to-read,to-read (#105),to-read,,,,0,,,0,,,,,
925368,Travels With Myself and Another,Martha Gellhorn,"Gellhorn, Martha",,"=""1585420905""","=""9781585420902""",0,3.83,Tarcherperigee,Paperback,294,2012,1979,,2020/07/26,to-read,to-read (#104),to-read,,,,0,,,0,,,,,
435591,Le Livre de ma mère,Albert Cohen,"Cohen, Albert",,"=""2070393569""","=""9782070393565""",5,3.87,Folio,Mass Market Paperback,203,1995,1954,2020/07/26,2020/07/11,,,read,,,,1,,,0,,,,,
873993,The Trusted Advisor,David H. Maister,"Maister, David H.","Charles H. Green, Robert M. Galford","=""""","=""""",3,3.86,Free Press,Paperback,256,2001,1998,2020/07/19,2020/01/19,,,read,,,,1,,,0,,,,,
25964933,D'après une histoire vraie,Delphine de Vigan,"Vigan, Delphine de",,"=""2709648520""","=""9782709648523""",0,3.89,JC Lattès,Paperback,479,2015,2015,,2020/07/11,to-read,to-read (#103),to-read,,,,0,,,0,,,,,
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",5,4.35,Beacon Press,Paperback,165,2006,1946,2020/07/06,2020/01/19,,,read,,,,1,,,0,,,,,
28379080,Je dirai malgré tout que cette vie fut belle,Jean d'Ormesson,"d'Ormesson, Jean",,"=""""","=""""",0,3.85,Editions Gallimard,Kindle Edition,442,2016,,,2020/07/05,to-read,to-read (#102),to-read,,,,0,,,0,,,,,
36584218,White Privilege: The Myth of a Post-Racial Society,Kalwant Bhopal,"Bhopal, Kalwant",,"=""144733597X""","=""9781447335979""",0,3.61,Policy Press,Paperback,176,2018,2018,,2020/07/03,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
1019793,Cent ans de solitude,Gabriel García Márquez,"Márquez, Gabriel García","Claude Durand, Carmen Durand","=""""","=""""",5,4.09,Points,Mass Market Paperback,460,2008,1967,2020/07/03,2020/05/27,,,read,,,,1,,,0,,,,,
50523309,Vol de nuit,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",,"=""""","=""""",4,3.81,,Kindle Edition,77,2020,1931,2020/03/12,2020/03/12,,,read,,,,2,,,0,,,,,
31423245,How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life,Massimo Pigliucci,"Pigliucci, Massimo",,"=""0465097952""","=""9780465097951""",0,4.03,Basic Books,Hardcover,288,2017,2017,,2020/06/22,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
20604826,Flash Boys: A Wall Street Revolt,Michael   Lewis,"Lewis, Michael",,"=""0393244660""","=""9780393244663""",0,4.14,W. W. Norton  Company,Hardcover,288,2014,2014,,2020/06/22,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
25658482,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,"Bakewell, Sarah",,"=""0701186585""","=""9780701186586""",0,4.24,Chatto & Windus,Hardcover,440,2016,2016,,2020/06/22,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,"=""0060920432""","=""9780060920432""",0,4.09,Harper Perennial,Paperback,303,1990,1990,,2020/06/22,to-read,to-read (#97),to-read,,,,0,,,0,,,,,
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Tolle, Eckhart",,"=""1577314808""","=""9781577314806""",5,4.13,New World Library,Paperback,229,2004,1997,2020/06/21,2020/06/21,,,read,,,,1,,,0,,,,,
37793,A Doll's House,Henrik Ibsen,"Ibsen, Henrik","T. Weber, Michael   Meyer","=""1406914835""","=""9781406914832""",0,3.74,Hard Press,Paperback,122,2007,1879,,2020/05/27,to-read,to-read (#96),to-read,,,,0,,,0,,,,,
17250,The Crucible,Arthur  Miller,"Miller, Arthur",Christopher Bigsby,"=""0142437336""","=""9780142437339""",0,3.59,Penguin Books,Paperback,143,2003,1953,,2020/05/27,to-read,to-read (#95),to-read,,,,0,,,0,,,,,
92303,The Importance of Being Earnest,Oscar Wilde,"Wilde, Oscar",,"=""158049580X""","=""9781580495806""",0,4.18,Prestwick House,Paperback,76,2005,1895,,2020/05/27,to-read,to-read (#94),to-read,,,,0,,,0,,,,,
51014619,Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,"=""""","=""""",0,4.27,PublicAffairs,Kindle Edition,417,2019,2019,,2020/05/26,to-read,to-read (#93),to-read,,,,0,,,0,,,,,
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,"=""""","=""""",0,4.40,Random House,Hardcover,272,2019,2019,,2020/05/26,to-read,to-read (#92),to-read,,,,0,,,0,,,,,
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.00,Random House,Paperback,509,2004,2004,,2020/05/26,to-read,to-read (#91),to-read,,,,0,,,0,,,,,
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",0,3.62,Penguin Books,Paperback,307,1976,1955,,2020/05/26,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
1099962,Feet in the Clouds: A Tale of Fell-Running and Obsession,Richard Askwith,"Askwith, Richard",,"=""1845130820""","=""9781845130824""",0,4.14,Aurum Press,Paperback,352,2005,2004,,2020/05/26,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
19501,"Eat, Pray, Love",Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""0143038419""","=""9780143038412""",0,3.58,Riverhead Books,Paperback,368,2007,2006,,2020/05/26,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
2978537,Le Crève-coeur - Le nouveau Crève-coeur,Louis Aragon,"Aragon, Louis",,"=""2070321894""","=""9782070321896""",4,4.13,Gallimard,Paperback,187,1980,1980,2020/05/24,2020/05/15,,,read,,,,1,,,0,,,,,
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,"=""078670621X""","=""9780786706211""",0,4.37,Carroll & Graf Publishers,Hardcover,282,1959,1959,,2020/05/21,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
12580483,Ethnic Identity and Development: Khat and Social Change in Africa,Susan Beckerleg,"Beckerleg, Susan",,"=""0230623107""","=""9780230623101""",3,3.00,Palgrave Macmillan,Hardcover,222,2010,2010,2020/05/16,2020/05/15,,,read,,,,1,,,0,,,,,
361459,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,"Jamison, Kay Redfield",,"=""0679763309""","=""9780679763307""",0,4.02,Vintage,Paperback,223,1996,1995,,2020/05/08,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
111734,The Iceman Cometh,Eugene O'Neill,"O'Neill, Eugene",Harold Bloom,"=""0300117434""","=""9780300117431""",0,3.92,Yale University Press,Paperback,236,2006,1946,,2020/05/07,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
