Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5886738,Kit's Wilderness,David Almond,"Almond, David",,"=""034094496X""","=""9780340944967""",3,3.70,Hodder Children's Books,Paperback,233,2008,1999,,2020/01/06,childhood,childhood (#54),read,,,,1,,,0,,,,,
139693,The Lost Art of the Great Speech: How to Write One--How to Deliver It,Richard Dowis,"Dowis, Richard",,"=""0814470548""","=""9780814470541""",4,3.71,AMACOM,Paperback,288,1999,1999,,2020/01/06,,,read,,,,1,,,0,,,,,
18179434,"Big Data: A Revolution That Will Transform How We Live, Work, and Think",Viktor Mayer-Schönberger,"Mayer-Schönberger, Viktor",Kenneth Cukier,"=""1848547927""","=""9781848547926""",3,3.71,John Murray Publishers,Paperback,242,2013,2013,,2020/01/06,,,read,,,,1,,,0,,,,,
11744637,Phèdre,Jean Racine,"Racine, Jean",,"=""2035859166""","=""9782035859167""",4,3.72,Larousse,Mass Market Paperback,176,2011,1676,,2020/01/06,childhood,childhood (#57),read,,,,1,,,0,,,,,
1690148,La ciudad de las bestias,Isabel Allende,"Allende, Isabel",,"=""8497935691""","=""9788497935692""",3,3.72,Debolsillo,Mass Market Paperback,304,2012,2002,,2020/01/06,childhood,childhood (#59),read,,,,1,,,0,,,,,
857213,Le Malade imaginaire,Molière,"Molière, Molière",,"=""2038716668""","=""9782038716665""",4,3.74,Larousse,Mass Market Paperback,255,1998,1673,,2020/01/06,,,read,,,,1,,,0,,,,,
74646,Philosophy: A Very Short Introduction,Edward Craig,"Craig, Edward",,"=""0192854216""","=""9780192854216""",3,3.75,"Oxford University Press, USA",Paperback,132,2002,2002,,2020/01/06,childhood,childhood (#62),read,,,,1,,,0,,,,,
21972585,Celle qui n'était plus,Boileau-Narcejac,"Boileau-Narcejac, Boileau-Narcejac",,"=""2070410242""","=""9782070410248""",4,3.74,Gallimard Education,Paperback,186,1999,1952,,2020/01/06,,,read,,,,1,,,0,,,,,
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Paul Werstine, Barbara A. Mowat, Paavo Emil Cajander","=""0743477111""","=""9780743477116""",3,3.75,Simon Schuster,Paperback,301,2004,1597,,2020/01/04,,,read,,,,1,,,0,,,,,
257213,Le Bourgeois Gentilhomme,Molière,"Molière, Molière",,"=""2038716617""","=""9782038716610""",4,3.75,Larousse,Mass Market Paperback,239,2003,1670,,2020/01/06,,,read,,,,1,,,0,,,,,
22104318,World War II: A Very Short Introduction,Gerhard L. Weinberg,"Weinberg, Gerhard L.",,"=""019968877X""","=""9780199688777""",2,3.76,"Oxford University Press, USA",Paperback,144,2014,2014,,2020/01/06,,,read,,,,1,,,0,,,,,
2924317,Le Médecin Malgré Lui,Molière,"Molière, Molière",Marie-Helene Prat,"=""2858902755""","=""""",5,3.77,,Paperback,189,,1666,,2020/01/06,,,read,,,,1,,,0,,,,,
34465343,Du contrat social,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques",,"=""2081275236""","=""""",4,3.78,,Paperback,255,2011,1762,,2020/01/06,,,read,,,,1,,,0,,,,,
30056901,Un automne rouge sang (L'hôtel des quatre saisons) (Heure noire),Paul Thiès,"Thiès, Paul",,"=""""","=""""",4,3.82,Rageot Editeur,Kindle Edition,113,2006,2006,,2020/01/04,,,read,,,,1,,,0,,,,,
17716,Waiting for Godot,Samuel Beckett,"Beckett, Samuel",,"=""""","=""""",5,3.83,Grove,Paperback,109,2011,1952,,2020/04/06,,,read,,,,1,,,0,,,,,
24579105,Un printemps vert panique (L'hôtel des quatre saisons),Paul Thiès,"Thiès, Paul",,"=""""","=""""",4,3.84,Rageot Editeur,Kindle Edition,124,2004,2004,,2020/01/04,,,read,,,,1,,,0,,,,,
23368013,Is the American Century Over?,Joseph S. Nye Jr.,"Jr., Joseph S. Nye",,"=""0745690068""","=""9780745690063""",4,3.84,Polity Press,Hardcover,152,2015,2015,,2020/01/06,,,read,,,,1,,,0,,,,,
16071266,"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself",David McRaney,"McRaney, David",,"=""1851689397""","=""9781851689392""",2,3.86,Oneworld Publications,Paperback,302,2012,2011,,2020/01/06,,,read,,,,1,,,0,,,,,
21238589,Politics: Ideas in Profile,David Runciman,"Runciman, David",,"=""1781252572""","=""9781781252574""",2,3.87,Profile Books,Paperback,176,2014,2014,,2020/01/06,,,read,,,,1,,,0,,,,,
25227,Tuck Everlasting,Natalie Babbitt,"Babbitt, Natalie",Peter Thomas,"=""1400099102""","=""9781400099108""",5,3.87,Listening Library (Audio),Audio CD,4,2005,1975,,2020/01/06,,,read,,,,1,,,0,,,,,
51070,"The Secret Diary of Adrian Mole, Aged 13 3/4  (Adrian Mole, #1)",Sue Townsend,"Townsend, Sue",,"=""0060533994""","=""9780060533991""",5,3.87,HarperTeen,Paperback,272,2003,1982,,2020/01/06,,,read,,,,1,,,0,,,,,
12099421,"Histoire Du X Xe Siècle Tome 3,La Fin Du Monde Bipolaire",Serge Berstein,"Berstein, Serge",Pierre Milza,"=""2218947374""","=""9782218947377""",3,3.88,Hatier,,287,2010,2001,,2020/01/06,childhood,childhood (#69),read,,,,1,,,0,,,,,
11931977,"L'aigle de la 9e Légion (Les trois légions, #1)",Rosemary Sutcliff,"Sutcliff, Rosemary",Bertrand Ferrier,"=""2070612546""","=""9782070612543""",3,3.93,Gallimard,Paperback,315,2011,1954,,2020/01/06,,,read,,,,1,,,0,,,,,
44559,Life is Elsewhere,Milan Kundera,"Kundera, Milan",Aaron Asher,"=""0060997028""","=""9780060997021""",5,3.95,Harper Perennial,Paperback,432,2000,1969,,2020/04/04,,,read,,,,1,,,0,,,,,
6577983,Politics,Aristotle,"Aristotle, Aristotle","R.F. Stalley, Ernest Barker","=""0199538735""","=""9780199538737""",3,3.97,Oxford University Press,Paperback,423,2009,,,2020/01/06,,,read,,,,1,,,0,,,,,
25242081,"The Fierce Urgency of Now: Lyndon Johnson, Congress, and the Battle for the Great Society",Julian E. Zelizer,"Zelizer, Julian E.",,"=""0143128019""","=""9780143128014""",4,3.97,Penguin Books,Paperback,384,2015,2015,,2020/01/06,,,read,,,,1,,,0,,,,,
136782,"Stormbreaker (Alex Rider, #1)",Anthony Horowitz,"Horowitz, Anthony",,"=""014240165X""","=""9780142401651""",5,3.98,Speak,Paperback,256,2004,2000,,2020/01/04,,,read,,,,1,,,0,,,,,
30597,The Hunchback of Notre-Dame,Victor Hugo,"Hugo, Victor",Walter J. Cobb,"=""0451527887""","=""9780451527882""",5,3.99,Signet Classics,Paperback,510,2001,1831,,2020/04/06,,,read,,,,1,,,0,,,,,
13707584,"The Last Refuge: Yemen, al-Qaeda, and America's War in Arabia",Gregory D. Johnsen,"Johnsen, Gregory D.",,"=""0393082423""","=""9780393082425""",4,4.00,W. W. Norton  Company,Hardcover,352,2012,2012,,2020/01/06,,,read,,,,1,,,0,,,,,
828469,"Nervous Conditions (Nervous Conditions, #1)",Tsitsi Dangarembga,"Dangarembga, Tsitsi",Kwame Anthony Appiah,"=""0954702336""","=""9780954702335""",4,4.00,Ayebia,Paperback,212,2004,1988,,2020/01/06,childhood,childhood (#56),read,,,,1,,,0,,,,,
1479288,Oliver Twist,Marian Leighton,"Leighton, Marian","Ric Estrada, Charles Dickens","=""0866119566""","=""9780866119566""",5,4.01,Baronet Books,Hardcover,240,2000,1979,,2020/01/06,,,read,,,,1,,,0,,,,,
7068142,Alcools,Guillaume Apollinaire,"Apollinaire, Guillaume",,"=""1412180783""","=""9781412180788""",4,4.01,Ebookslib,ebook,136,2010,1913,,2020/04/06,,,read,,,,1,,,0,,,,,
